name,lat,lon,elev,x_m,y_m
G125,50.361080,-4.746430,114.300000,-512.905191,-1371.078599
G126T,50.360080,-4.746460,130.400000,-515.048344,-1482.342208
G129T,50.362630,-4.743330,102.900000,-292.554688,-1198.636421
H101,50.368710,-4.753560,177.600000,-1019.525926,-522.061928
H103T,50.364500,-4.747710,170.500000,-603.841292,-990.546659
H106T,50.361910,-4.747380,151.100000,-580.418913,-1278.722654
H109,50.359170,-4.747810,156.700000,-611.016970,-1583.582062
H110T,50.358100,-4.747380,167.590000,-580.465367,-1702.637757
H113,50.357490,-4.743900,144.900000,-333.103648,-1770.530000
H114T,50.359560,-4.741760,109.800000,-180.977963,-1540.221342
H117,50.358240,-4.739120,124.890000,6.673291,-1687.092640
H118T,50.360770,-4.739770,144.990000,-39.527738,-1405.595079
H121T,50.364030,-4.743110,149.300000,-276.909964,-1042.867872
H124,50.363650,-4.744760,149.600000,-394.184092,-1085.140706
H125,50.361080,-4.746430,114.100000,-512.905191,-1371.078599
H126T,50.360100,-4.746460,131.400000,-515.048130,-1480.116931
H129T,50.362640,-4.743330,100.100000,-292.554644,-1197.523782
K101T,50.364790,-4.750000,199.090000,-766.592922,-958.259076
K104,50.363210,-4.748980,178.400000,-694.122331,-1134.065974
K105,50.362280,-4.749260,171.990000,-714.037161,-1237.538699
K106,50.362390,-4.751990,177.800000,-908.072381,-1225.269954
K107T,50.363390,-4.753580,189.190000,-1021.061395,-1113.985521
L101U,50.397220,-4.726930,241.800000,872.447411,2650.051371
L104S,50.397630,-4.729810,218.300000,667.893280,2695.639950
L105S,50.397990,-4.732970,197.100000,443.456808,2735.671521
L106S,50.400010,-4.734120,174.900000,361.765447,2960.419186
L107S,50.402220,-4.731170,176.600000,571.246628,3206.331818
L108S,50.399290,-4.731700,202.100000,533.640905,2880.323431
L109S,50.399190,-4.728520,215.990000,759.488186,2869.224603
L110U,50.402630,-4.730200,173.200000,640.126903,3251.958084
L113U,50.402610,-4.730220,171.390000,638.706859,3249.732624
M101T,50.375480,-4.707760,111.700000,2234.994087,231.568802
M104T,50.379580,-4.705660,178.400000,2384.006633,687.816408
M107T,50.379750,-4.710870,164.390000,2013.828473,706.577502
O101S,50.377950,-4.730080,162.400000,648.985574,505.958868
N101,50.369660,-4.748980,187.790000,-694.028258,-416.413879
N102,50.369230,-4.750190,184.800000,-780.023853,-464.245397
N103,50.368820,-4.750880,179.000000,-829.066237,-509.856154
N104,50.369680,-4.748980,189.000000,-694.027965,-414.188602
N105,50.369670,-4.748980,189.100000,-694.028112,-415.301241
O102,50.376790,-4.731730,157.900000,531.761861,376.879513
O103,50.375010,-4.731000,169.590000,583.653312,178.835034
O104,50.376130,-4.728720,147.500000,745.645547,303.471069
