date time x_m y_m elev nan error_x error_y error_z name nan
20221129 16153500 -41.651 -211.734 4.007 0.0 0.01 0.01 0.30 81 0
20221129 1142800 -247.719 44.179 3.655 0.0 0.00 0.00 0.15 82 0
20221129 12361800 -148.237 44.176 3.860 0.0 0.01 0.01 0.36 83 0
20221127 3023500 -176.657 144.314 3.567 0.0 0.01 0.01 0.20 84 0
20221128 22250400 -119.809 222.197 3.943 0.0 0.01 0.00 0.18 85 0
20221127 3531300 -290.350 122.066 4.075 0.0 0.00 0.00 0.03 86 0
20221127 12252800 -134.025 33.049 3.660 0.0 0.01 0.01 0.38 87 0
20221126 22465800 -219.294 88.684 3.792 0.0 0.01 0.01 0.26 88 0
20221125 16033900 -6.120 -55.964 3.777 0.0 0.03 0.04 0.36 89 0
20221125 14323000 -205.084 44.177 3.646 0.0 0.00 0.01 0.13 90 0
20221127 3484600 -269.027 233.329 3.553 0.0 0.01 0.01 0.33 91 0
20221126 18255800 -176.657 133.188 3.733 0.0 0.00 0.00 0.05 92 0
20221126 1241600 -219.291 155.442 3.660 0.0 0.02 0.01 0.30 93 0
20221129 23301700 -205.085 21.925 3.616 0.0 0.01 0.01 0.28 94 0
20221127 2541200 -176.658 99.808 3.768 0.0 0.02 0.02 0.35 95 0
20221126 23563600 -212.188 88.683 3.826 0.0 0.02 0.04 0.32 96 0
20221128 22133700 -361.410 88.691 3.807 0.0 0.00 0.00 0.04 97 0
20221201 1330400 -27.436 222.196 3.899 0.0 0.00 0.00 0.20 98 0
20221126 23470800 -183.762 155.441 3.577 0.0 0.01 0.01 0.31 99 0
20221128 4532400 -347.201 55.311 3.670 0.0 0.00 0.00 0.03 100 0
20221128 11073000 -254.824 55.306 3.538 0.0 0.00 0.00 0.12 101 0
20221125 17491800 36.515 166.564 3.924 0.0 0.00 0.00 0.11 102 0
20221129 1282000 -219.295 55.304 3.802 0.0 0.01 0.00 0.25 103 0
20221127 7385800 -240.613 55.305 3.724 0.0 0.01 0.00 0.30 104 0
20221127 7573900 -261.926 133.191 3.782 0.0 0.00 0.00 0.16 105 0
20221125 14064600 -13.225 110.932 3.851 0.0 0.00 0.00 0.08 106 0
20221127 13173900 -226.399 99.810 3.729 0.0 0.01 0.01 0.35 107 0
20221126 22522800 -318.774 99.815 3.665 0.0 0.00 0.00 0.12 108 0
20221127 3111200 -304.563 99.814 3.528 0.0 0.00 0.00 0.14 109 0
20221126 21175700 -261.927 110.938 3.816 0.0 0.01 0.01 0.49 110 0
20221128 12335600 -91.386 255.576 3.997 0.0 0.00 0.00 0.08 111 0
20221129 3531800 -233.507 55.305 3.699 0.0 0.00 0.00 0.07 113 0
20221129 10333600 -197.975 133.188 3.748 0.0 0.00 0.00 0.09 114 0
20221127 5212500 -261.930 55.306 3.748 0.0 0.01 0.01 0.31 115 0
20221127 10531400 50.725 311.207 3.909 0.0 0.01 0.00 0.13 116 0
20221125 16184300 -169.551 155.440 3.738 0.0 0.00 0.00 0.03 117 0
20221126 18285100 8.092 144.311 3.611 0.0 0.03 3.40 0.50 118 0
20221125 16100500 -48.754 77.553 3.816 0.0 0.00 0.00 0.09 119 0
20221130 8445400 -91.392 -111.595 4.021 0.0 0.01 0.01 0.13 120 0
20221127 193900 -269.037 33.054 3.646 0.0 0.01 0.01 0.25 121 0
20221127 9464400 135.999 10.796 3.807 0.0 0.01 0.01 0.31 122 0
20221130 10050200 -290.351 110.940 3.904 0.0 0.00 0.00 0.05 123 0
20221127 6441200 -254.822 99.812 3.738 0.0 0.01 0.01 0.32 124 0
20221129 22234700 -20.331 -22.585 3.768 0.0 0.01 0.01 0.18 125 0
20221127 4234000 -240.611 88.684 4.085 0.0 0.01 0.00 0.22 126 0
20221128 21490400 -382.731 44.187 3.846 0.0 0.00 0.00 0.02 127 0
20221129 13084800 -105.601 77.554 3.558 0.0 0.01 0.01 0.31 129 0
20221127 10533200 -233.505 99.811 3.704 0.0 0.01 0.01 0.31 130 0
20221125 18081200 -148.237 33.049 3.685 0.0 0.01 0.01 0.36 131 0
20221128 19482200 -226.398 122.063 3.680 0.0 0.00 0.00 0.11 132 0
20221128 1162300 -318.781 -11.449 3.733 0.0 0.00 0.00 0.11 133 0
20221130 11334600 -205.077 211.073 4.075 0.0 0.00 0.00 0.09 134 0
20221127 11204700 -340.085 211.080 4.075 0.0 0.00 0.00 0.08 135 0
20221127 545300 -290.345 211.077 3.709 0.0 0.01 0.01 0.32 136 0
20221125 16060600 -148.234 144.313 3.755 0.0 0.00 0.00 0.06 137 0
20221127 20301400 -354.304 88.691 3.743 0.0 0.00 0.00 0.13 138 0
20221128 9100900 -311.671 55.309 3.743 0.0 0.01 0.00 0.20 139 0
